time,close
2023-04-21,174.17
2023-04-22,174.17
2023-04-23,174.17
2023-04-24,175.31
2023-04-25,170.29
2023-04-26,172.65
2023-04-27,175.31
2023-04-28,192.85
2023-04-29,192.85
2023-04-30,192.85
2023-05-01,170.18
2023-05-02,170.38
2023-05-03,175.17
2023-05-04,175.18
2023-05-05,177.15
2023-05-06,177.15
2023-05-07,177.15
2023-05-08,177.24
2023-05-09,186.16
2023-05-10,186.17
2023-05-11,177.32
2023-05-12,177.28
2023-05-13,177.28
2023-05-14,177.28
2023-05-15,177.25
2023-05-16,177.21
2023-05-17,177.18
2023-05-18,189.58
2023-05-19,174.41
2023-05-20,174.41
2023-05-21,174.41
2023-05-22,165.1
2023-05-23,160.16
2023-05-24,125.96
2023-05-25,132.47
2023-05-26,125.97
2023-05-27,125.97
2023-05-28,125.97
2023-05-29,121.95
2023-05-30,121.94
2023-05-31,123.9
2023-06-01,127.42
2023-06-02,122.45
2023-06-03,122.45
2023-06-04,122.45
2023-06-05,119.97
2023-06-06,117.94
2023-06-07,114.93
2023-06-08,113.95
2023-06-09,113.93
2023-06-10,113.93
2023-06-11,113.93
2023-06-12,110.92
2023-06-13,106.45
2023-06-14,106.96
2023-06-15,105.96
2023-06-16,106.96
2023-06-17,106.96
2023-06-18,106.96
2023-06-19,105.46
2023-06-20,106.95
2023-06-21,106.95
2023-06-22,99.0
2023-06-23,100.0
2023-06-24,100.0
2023-06-25,100.0
2023-06-26,101.49
2023-06-27,101.48
2023-06-28,100.99
2023-06-29,100.0
2023-06-30,99.0
